consommation,previsionJ
71596,71200
72058,71900
72520,72600
72321,72600
72122,72600
72012,71900
71902,71200
71194,70600
70486,70000
70136,69700
69787,69400
69328,68850
68868,68300
68932,68500
68996,68700
69183,69150
69371,69600
70409,70400
71447,71200
72334,72350
73221,73500
74976,75150
76732,76800
78313,78500
79895,80200
81456,81750
83017,83300
84078,84400
85139,85500
85741,86000
86343,86500
86459,86500
86575,86500
86800,86600
87025,86700
86761,86250
86497,85800
86129,85400
85762,85000
85178,84500
84594,84000
84143,83500
83691,83000
83776,83200
83861,83400
83502,82650
83143,81900
82716,82350
82290,82800
81168,80700
80046,78600
79138,77900
78230,77200
77223,76950
76215,76700
75330,75000
74444,73300
74015,72950
73586,72600
73052,72100
72518,71600
72338,71400
72158,71200
72487,71900
72816,72600
73935,74000
75054,75400
76763,77250
78471,79100
79562,79900
80654,80700
81454,81400
82254,82100
82044,81500
81835,80900
81161,80050
80488,79200
79561,78200
78634,77200
77699,76200
76764,75200
75976,74400
75189,73600
74609,72900
74029,72200
74130,72800
74231,73400
75178,74750
76125,76100
75523,75800
74921,75500
74893,74750
74864,74300
74421,73500
73979,72700
72813,71850
71648,71000
71876,71600
72104,72200
71831,72050
71557,71900
71331,71050
71104,70200
70285,69350
69466,68500
68881,68000
68296,67500
67834,67000
67371,66500
67085,66250
66799,66000
66809,66000
66819,66000
67157,66500
67496,67000
67747,67250
67999,67500
68880,68400
69761,69300
70176,69850
70591,70400
71303,71150
72016,71900
72740,72700
73463,73500
74146,74150
74829,74800
75493,75350
76158,75900
76817,76700
77476,77500
77795,77550
78115,77600
78174,77500
78233,77400
77944,77250
77655,77100
77608,77000
77562,76900
77627,77300
77692,77700
77858,77300
78024,76900
77919,77550
77813,78200
76616,76200
75419,74200
74365,73200
73311,72200
72446,71950
71581,71700
70720,70650
69859,69600
69376,69100
68893,68600
68439,68050
67986,67500
68003,67450
68020,67400
68218,68000
68416,68600
69419,69850
70422,71100
72074,72650
73725,74200
74832,75200
75938,76200
76778,77000
77618,77800
77755,77650
77892,77500
77450,76850
77007,76200
76261,75450
75515,74700
74815,73850
74115,73000
73733,72350
73351,71700
72723,71050
72095,70400
72224,71100
72353,71800
73342,73100
74330,74400
74037,74350
73744,74300
73785,73800
73826,73100
73216,72350
72606,71600
71512,70750
70418,69900
70602,70350
70787,70800
70471,70550
70155,70300
69907,69500
69659,68700
68745,67800
67830,66900
67334,66450
66837,66000
66337,65600
65837,65200
65499,64700
65161,64200
65029,64150
64896,64100
65105,64350
65313,64600
65456,64700
65599,64800
65876,65200
66153,65600
66402,66000
66651,66400
67157,66700
67663,67000
68111,67600
68559,68200
69026,68700
69494,69200
70120,69700
70746,70200
71476,70900
72207,71600
72784,72100
73361,72600
73835,73050
